filename,treatment,day,row,col,cell_id,x1,y1,x2,y2,roi_x1,roi_y1,roi_x2,roi_y2,green_pixels,total_pixels,green_ratio,mean_green_strength,max_green_strength,largest_green_cluster,germinated_estimate
microbes_day_01_standardized.jpg,Microbes,1,1,1,R01_C01,0,0,120,120,14,14,106,106,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,1,2,R01_C02,120,0,240,120,134,14,226,106,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,1,3,R01_C03,240,0,360,120,254,14,346,106,100,8464,0.011814744801512287,64.48999786376953,94.0,60,True
microbes_day_01_standardized.jpg,Microbes,1,1,4,R01_C04,360,0,480,120,374,14,466,106,17,8464,0.002008506616257089,74.23529052734375,86.0,15,True
microbes_day_01_standardized.jpg,Microbes,1,1,5,R01_C05,480,0,600,120,494,14,586,106,40,8464,0.004725897920604915,69.44999694824219,96.0,29,True
microbes_day_01_standardized.jpg,Microbes,1,1,6,R01_C06,600,0,720,120,614,14,706,106,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,1,7,R01_C07,720,0,840,120,734,14,826,106,32,8464,0.003780718336483932,84.4375,104.0,17,True
microbes_day_01_standardized.jpg,Microbes,1,1,8,R01_C08,840,0,960,120,854,14,946,106,87,8464,0.01027882797731569,74.50574493408203,95.0,76,True
microbes_day_01_standardized.jpg,Microbes,1,1,9,R01_C09,960,0,1080,120,974,14,1066,106,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,1,10,R01_C10,1080,0,1200,120,1094,14,1186,106,20,8464,0.0023629489603024575,85.6500015258789,100.0,12,True
microbes_day_01_standardized.jpg,Microbes,1,2,1,R02_C01,0,120,120,240,14,134,106,226,3,8464,0.00035444234404536864,71.66666412353516,78.0,3,False
microbes_day_01_standardized.jpg,Microbes,1,2,2,R02_C02,120,120,240,240,134,134,226,226,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,2,3,R02_C03,240,120,360,240,254,134,346,226,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,2,4,R02_C04,360,120,480,240,374,134,466,226,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,2,5,R02_C05,480,120,600,240,494,134,586,226,24,8464,0.002835538752362949,69.33333587646484,91.0,13,True
microbes_day_01_standardized.jpg,Microbes,1,2,6,R02_C06,600,120,720,240,614,134,706,226,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,2,7,R02_C07,720,120,840,240,734,134,826,226,14,8464,0.0016540642722117202,82.0,104.0,14,False
microbes_day_01_standardized.jpg,Microbes,1,2,8,R02_C08,840,120,960,240,854,134,946,226,1,8464,0.00011814744801512288,16.0,16.0,1,False
microbes_day_01_standardized.jpg,Microbes,1,2,9,R02_C09,960,120,1080,240,974,134,1066,226,1,8464,0.00011814744801512288,65.0,65.0,1,False
microbes_day_01_standardized.jpg,Microbes,1,2,10,R02_C10,1080,120,1200,240,1094,134,1186,226,7,8464,0.0008270321361058601,71.0,83.0,7,False
microbes_day_01_standardized.jpg,Microbes,1,3,1,R03_C01,0,240,120,360,14,254,106,346,1,8464,0.00011814744801512288,68.0,68.0,1,False
microbes_day_01_standardized.jpg,Microbes,1,3,2,R03_C02,120,240,240,360,134,254,226,346,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,3,3,R03_C03,240,240,360,360,254,254,346,346,83,8464,0.009806238185255198,66.72289276123047,91.0,50,True
microbes_day_01_standardized.jpg,Microbes,1,3,4,R03_C04,360,240,480,360,374,254,466,346,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,3,5,R03_C05,480,240,600,360,494,254,586,346,7,8464,0.0008270321361058601,66.0,92.0,7,False
microbes_day_01_standardized.jpg,Microbes,1,3,6,R03_C06,600,240,720,360,614,254,706,346,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,3,7,R03_C07,720,240,840,360,734,254,826,346,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,3,8,R03_C08,840,240,960,360,854,254,946,346,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,3,9,R03_C09,960,240,1080,360,974,254,1066,346,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,3,10,R03_C10,1080,240,1200,360,1094,254,1186,346,60,8464,0.007088846880907372,59.18333435058594,88.0,35,True
microbes_day_01_standardized.jpg,Microbes,1,4,1,R04_C01,0,360,120,480,14,374,106,466,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,4,2,R04_C02,120,360,240,480,134,374,226,466,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,4,3,R04_C03,240,360,360,480,254,374,346,466,68,8464,0.008034026465028356,64.69117736816406,92.0,40,True
microbes_day_01_standardized.jpg,Microbes,1,4,4,R04_C04,360,360,480,480,374,374,466,466,113,8464,0.013350661625708886,68.16814422607422,101.0,113,True
microbes_day_01_standardized.jpg,Microbes,1,4,5,R04_C05,480,360,600,480,494,374,586,466,20,8464,0.0023629489603024575,77.80000305175781,109.0,20,True
microbes_day_01_standardized.jpg,Microbes,1,4,6,R04_C06,600,360,720,480,614,374,706,466,0,8464,0.0,0.0,0.0,0,False
microbes_day_01_standardized.jpg,Microbes,1,4,7,R04_C07,720,360,840,480,734,374,826,466,19,8464,0.0022448015122873348,94.9473648071289,115.0,19,True
microbes_day_01_standardized.jpg,Microbes,1,4,8,R04_C08,840,360,960,480,854,374,946,466,0,8464,0.0,0.0,0.0,0,False
